骨架数=1 网格数=55
骨架 rig: 348骨, 尺寸缩放=(0.9794, 0.9794, 0.9794)
网格 01_骨盆中心: 178顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 02_下巴: 178顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 03_颈根: 178顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 04_肩: 178顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 04_肩_对侧镜像: 178顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 05_肘: 178顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 05_肘_对侧镜像: 178顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 06_手腕: 178顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 06_手腕_对侧镜像: 178顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 07_指尖: 178顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 07_指尖_对侧镜像: 178顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 08_大腿根上段: 178顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 08_大腿根上段_对侧镜像: 178顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 09_膝: 178顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 09_膝_对侧镜像: 178顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 10_脚踝: 178顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 10_脚踝_对侧镜像: 178顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 cs_arrow_cross: 44顶点, 缩放=(0.283, 0.283, 0.283), 父级=cs_grp
网格 cs_arrow_twist: 24顶点, 缩放=(1.0, 1.0, 1.0), 父级=cs_grp
网格 cs_base_finger: 32顶点, 缩放=(0.098, 0.098, 0.098), 父级=cs_grp
网格 cs_base_finger_end: 32顶点, 缩放=(0.098, 0.098, 0.098), 父级=cs_grp
网格 cs_box: 8顶点, 缩放=(0.7017, 0.7017, 0.7017), 父级=cs_grp
网格 cs_circle_head: 32顶点, 缩放=(0.0737, 0.0737, 0.0737), 父级=cs_grp
网格 cs_circle_squashed: 32顶点, 缩放=(0.098, 0.098, 0.098), 父级=cs_grp
网格 cs_curve: 16顶点, 缩放=(0.098, 0.098, 0.098), 父级=cs_grp
网格 cs_foot.l: 8顶点, 缩放=(0.098, 0.098, 0.098), 父级=cs_grp
网格 cs_foot.r: 8顶点, 缩放=(0.098, 0.098, 0.098), 父级=cs_grp
网格 cs_foot_roll: 56顶点, 缩放=(0.098, 0.098, 0.098), 父级=cs_grp
网格 cs_half_circle: 17顶点, 缩放=(0.0693, 0.0693, 0.0693), 父级=cs_grp
网格 cs_hand: 8顶点, 缩放=(0.098, 0.098, 0.098), 父级=cs_grp
网格 cs_line: 2顶点, 缩放=(1.0, 1.0, 1.0), 父级=cs_grp
网格 cs_pos: 32顶点, 缩放=(0.098, 0.098, 0.098), 父级=cs_grp
网格 cs_sphere: 48顶点, 缩放=(0.085, 0.085, 0.085), 父级=cs_grp
网格 cs_spine: 16顶点, 缩放=(0.05, 0.05, 0.05), 父级=cs_grp
网格 cs_torus_01: 48顶点, 缩放=(0.098, 0.098, 0.098), 父级=cs_grp
网格 cs_torus_02: 48顶点, 缩放=(0.098, 0.098, 0.098), 父级=cs_grp
网格 cs_torus_03: 48顶点, 缩放=(0.098, 0.098, 0.098), 父级=cs_grp
网格 cs_torus_04: 48顶点, 缩放=(0.098, 0.098, 0.098), 父级=cs_grp
网格 cs_user_c_arm_fk.l: 8顶点, 缩放=(0.2287, 0.2287, 0.2287), 父级=cs_grp
网格 cs_user_c_arm_fk.r: 8顶点, 缩放=(1.0, 1.0, 1.0), 父级=cs_grp
网格 cs_user_c_arm_ik.r: 8顶点, 缩放=(1.0, 1.0, 1.0), 父级=cs_grp
网格 cs_user_c_leg_fk.l: 8顶点, 缩放=(0.4747, 0.4747, 0.4747), 父级=cs_grp
网格 cs_user_c_leg_fk.r: 8顶点, 缩放=(1.0, 1.0, 1.0), 父级=cs_grp
网格 cs_user_c_shoulder.l: 16顶点, 缩放=(0.0812, 0.0812, 0.0812), 父级=cs_grp
网格 cs_user_c_shoulder.r: 16顶点, 缩放=(1.0, 1.0, 1.0), 父级=cs_grp
网格 cs_user_c_spine_01_bend.x: 48顶点, 缩放=(0.098, 0.098, 0.098), 父级=cs_grp
网格 cs_user_c_spine_02_bend.x: 48顶点, 缩放=(0.098, 0.098, 0.098), 父级=cs_grp
网格 cs_user_c_spine_03.x: 16顶点, 缩放=(0.05, 0.05, 0.05), 父级=cs_grp
网格 cs_user_c_spine_03_bend.x: 48顶点, 缩放=(0.098, 0.098, 0.098), 父级=cs_grp
网格 cs_user_c_thigh_fk.l: 8顶点, 缩放=(0.4148, 0.4148, 0.4148), 父级=cs_grp
网格 cs_user_c_thigh_fk.r: 8顶点, 缩放=(1.0, 1.0, 1.0), 父级=cs_grp
网格 cs_user_c_waist_bend.x: 48顶点, 缩放=(0.098, 0.098, 0.098), 父级=cs_grp
网格 Eye002_L: 663顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 Eye002_R: 663顶点, 缩放=(1.0, 1.0, 1.0), 父级=None
网格 tripo_node_89f96507-4268-42bd-8c27-bf6892366069_QR: 143708顶点, 缩放=(1.0, 1.0, 1.0), 父级=rig

前10根骨骼名: ['c_pos', 'c_traj', 'c_root_master.x', 'c_root.x', 'root.x', 'c_p_root.x', 'c_root_bend.x', 'c_thigh_b.l', 'thigh_ik.l', 'leg_ik.l']
head_scale_fix.x: head=(-0.000,-0.019,1.454) tail=(0.000,-0.019,1.725)
